# freqs(eV) eps1 eps2
1.037524581030123016e+00 -1.125600000216353322e+02 2.170300001009007218e+01
1.041883928009241345e+00 -1.114400001005367074e+02 2.158600000167160005e+01
1.046280062726579807e+00 -1.103099999783893708e+02 2.141500000720158781e+01
1.050713452822878979e+00 -1.090800000086727550e+02 2.130600000982125408e+01
1.055184573898720890e+00 -1.080100000931295057e+02 2.114900001838987365e+01
1.059693909684612967e+00 -1.069799999667144306e+02 2.095799999883798392e+01
1.064241952215448039e+00 -1.059300000204352159e+02 2.084699999739969201e+01
1.068829202009480284e+00 -1.047899999798735138e+02 2.075400000384590271e+01
1.073456168251945453e+00 -1.037900000865939774e+02 2.055100001457083181e+01
1.078123368983475938e+00 -1.026900000064251373e+02 2.047499999113082225e+01
1.082831331293447219e+00 -1.015500001010963445e+02 2.033400000791114337e+01
1.087580591518418682e+00 -1.004999999256052092e+02 2.020699999915777312e+01
1.092371695445812474e+00 -9.946700003943706747e+01 2.014800000751673537e+01
1.097205198523006464e+00 -9.836099999157170259e+01 2.001600000583960082e+01
1.102081666071997423e+00 -9.734899999421452321e+01 1.991200000442709950e+01
1.107001673509818707e+00 -9.621399999153176452e+01 1.980499999799425481e+01
1.111965806574885418e+00 -9.515000000779944855e+01 1.968700000502435898e+01
1.116974661559456683e+00 -9.406900000762395564e+01 1.960600000896875272e+01
1.122028845548413756e+00 -9.315999999187985736e+01 1.957299999133956803e+01
1.127128976664542703e+00 -9.210100000437907397e+01 1.949100000055056725e+01
1.132275684320545261e+00 -9.100999999074873870e+01 1.941500000448058572e+01
1.137469609477979038e+00 -8.992300000875007981e+01 1.934800000699600986e+01
1.142711404913361539e+00 -8.883800000835692856e+01 1.924999999344021262e+01
1.148001735491663844e+00 -8.785799999498384238e+01 1.923900000432598389e+01
1.153341278447439278e+00 -8.680599999174937409e+01 1.920399999865865936e+01
1.158730723673829122e+00 -8.578299999497491513e+01 1.911399999105760017e+01
1.164170774019715582e+00 -8.477400000302633032e+01 1.903800000546123172e+01
1.169662145595280256e+00 -8.364699999601278080e+01 1.901800000469641816e+01
1.175205568086253205e+00 -8.262500000331034755e+01 1.896499999743022258e+01
1.180801785077140176e+00 -8.142600000168340557e+01 1.895700000528817242e+01
1.186451554383729290e+00 -8.055799999158168134e+01 1.901000000763550801e+01
1.192155648395189615e+00 -7.949499999820325513e+01 1.895299999104686250e+01
1.197914854426084252e+00 -7.844099999730940453e+01 1.893800000288635488e+01
1.203729975078637882e+00 -7.749100000153485723e+01 1.900200000818387025e+01
1.209601828615607166e+00 -7.644599999490338860e+01 1.905499999734780303e+01
1.215531249344114828e+00 -7.535300000508040341e+01 1.902400000584555073e+01
1.221519088010834642e+00 -7.427699999798525710e+01 1.900099999988294996e+01
1.227566212208907936e+00 -7.325900000692985259e+01 1.903699999995081527e+01
1.233673506797012154e+00 -7.223599999300289198e+01 1.910999999774391611e+01
1.239841874330997129e+00 -7.117799999784664067e+01 1.917900000017307249e+01
1.246072235508539849e+00 -7.023199999844686658e+01 1.929899999728337079e+01
1.252365529627269769e+00 -6.922100000077475102e+01 1.938100000217864505e+01
1.258722715056849850e+00 -6.816299999504120422e+01 1.947199999847840957e+01
1.265144769725507379e+00 -6.714800000811013092e+01 1.957700000002330043e+01
1.271632691621535471e+00 -6.617000000053994313e+01 1.975199999291287867e+01
1.278187499310306396e+00 -6.516299999306880864e+01 1.988999999410051345e+01
1.284810232467354485e+00 -6.416100000664604863e+01 2.007200000366215775e+01
1.291501952428122157e+00 -6.314999999810790854e+01 2.027199999227715921e+01
1.298263742754970806e+00 -6.212600000045966198e+01 2.044699999964657167e+01
1.305096709822102241e+00 -6.116899999500737550e+01 2.064900000653898005e+01
1.312001983419044615e+00 -6.021199999965184446e+01 2.087499999827210573e+01
1.318980717373401168e+00 -5.919699999435536597e+01 2.118100000574554187e+01
1.326034090193579651e+00 -5.823699999385055293e+01 2.149100000006690792e+01
1.333163305732254944e+00 -5.734000000433876920e+01 2.180400000707620123e+01
1.340369593871348242e+00 -5.639299999986308620e+01 2.213599999899597037e+01
1.347654211229344590e+00 -5.544700000766567882e+01 2.252799999994597968e+01
1.355018441891800096e+00 -5.459099999483193244e+01 2.288200000239687526e+01
1.362463598165930767e+00 -5.367200000368985258e+01 2.332600000709206256e+01
1.369991021360217776e+00 -5.277800000433526861e+01 2.384200000454379520e+01
1.377602082589996835e+00 -5.194400000308185383e+01 2.435499999974862462e+01
1.385298183610052636e+00 -5.115200000533666724e+01 2.491200000790431446e+01
1.393080757675277725e+00 -5.037000000015697054e+01 2.558599999450756712e+01
1.400951270430505158e+00 -4.966300000405669834e+01 2.622399999746512123e+01
1.408911220830678657e+00 -4.902599999461018854e+01 2.687299999802414519e+01
1.416962142092568211e+00 -4.843399999488885044e+01 2.765299999589919366e+01
1.425105602679306971e+00 -4.792899999413691603e+01 2.841499999881045113e+01
1.433343207319071944e+00 -4.749300000121346699e+01 2.918800000202150713e+01
1.441676598059298930e+00 -4.719199999631362630e+01 3.005700000170939745e+01
1.450107455357891428e+00 -4.690499999603655112e+01 3.083699999122161373e+01
1.458637499212937838e+00 -4.680699999727802663e+01 3.169800000702746345e+01
1.467268490332541031e+00 -4.680600000479404343e+01 3.253000000767514877e+01
1.476002231346425164e+00 -4.691300000632827505e+01 3.326400000419197767e+01
1.484840568061074562e+00 -4.712199999942949091e+01 3.397499999290934625e+01
1.493785390760237641e+00 -4.747900000187735259e+01 3.462400000659397392e+01
1.502838635552723900e+00 -4.790699999365077133e+01 3.515500000579440609e+01
1.512002285769508791e+00 -4.849900000369128605e+01 3.552099999731892410e+01
1.521278373412266571e+00 -4.909000000086670212e+01 3.578500000202211595e+01
1.530668980655552014e+00 -4.968999999431787273e+01 3.589600000030074511e+01
1.540176241404965340e+00 -5.029100000316194752e+01 3.592700000124586523e+01
1.549802342913746411e+00 -5.095499999267443769e+01 3.571200000008659714e+01
1.559549527460373675e+00 -5.144700000422666619e+01 3.547899999312780750e+01
1.569420094089869711e+00 -5.198099999266312210e+01 3.505399999743943340e+01
1.579416400421652433e+00 -5.242100000496594703e+01 3.453900000901956702e+01
1.589540864526919339e+00 -5.283900000340624104e+01 3.393599999885847041e+01
1.599795966878705844e+00 -5.312500000694020486e+01 3.333299999776109956e+01
1.610184252377918401e+00 -5.334600000017070442e+01 3.264899999475399284e+01
1.620708332458819845e+00 -5.342800000331690313e+01 3.193900000887148494e+01
1.631370887277627801e+00 -5.353200000340417120e+01 3.122199999494997158e+01
1.642174667988075765e+00 -5.351399999973094879e+01 3.042199999748266137e+01
1.653122499107996246e+00 -5.349099999386958615e+01 2.965500000116766799e+01
1.664217280981204139e+00 -5.336099999655782256e+01 2.895199999438013450e+01
1.675461992339185358e+00 -5.317099999787757980e+01 2.818899999435042858e+01
1.686859692967343172e+00 -5.295200000708650379e+01 2.742700000205962141e+01
1.698413526480818003e+00 -5.269000000555145391e+01 2.670799999453783258e+01
1.710126723215168454e+00 -5.240799999779144258e+01 2.599299999397485195e+01
1.722002603237495988e+00 -5.205799999945713807e+01 2.530900000077897261e+01
1.734044579483912107e+00 -5.168199999620057383e+01 2.464600000336281838e+01
1.746256161029573484e+00 -5.129800000143507788e+01 2.397100000590855373e+01
1.758640956497868446e+00 -5.090800000543916326e+01 2.334299999355410193e+01
1.771202677615710375e+00 -5.047700000519063934e+01 2.269100000097474990e+01
1.783945142922298110e+00 -5.002699999333203351e+01 2.210600000521458242e+01
1.796872281639126490e+00 -4.957399999731494944e+01 2.149500000219929063e+01
1.809988137709484635e+00 -4.910800000160906364e+01 2.086299999863289045e+01
1.823296874016172131e+00 -4.860799999529754700e+01 2.029599999831839341e+01
1.836802776786662372e+00 -4.805200000693562856e+01 1.974099999536295869e+01
1.850510260195517898e+00 -4.758400000505242389e+01 1.920300000149865483e+01
1.864423871174431646e+00 -4.704799999398236565e+01 1.864100000258670065e+01
1.878548294440904654e+00 -4.649499999861353672e+01 1.811100000187345671e+01
1.892888357757247508e+00 -4.596100000570169186e+01 1.759499999825470695e+01
1.907449037432303207e+00 -4.540099999239875928e+01 1.708100000529796247e+01
1.922235464079065315e+00 -4.485200000166693712e+01 1.658899999484143351e+01
1.937252928642182903e+00 -4.427299999912978024e+01 1.609099999730620567e+01
1.952506888710231703e+00 -4.367600000620594614e+01 1.564600000111553513e+01
1.968002975128566812e+00 -4.310600000002397536e+01 1.514300000013521696e+01
1.983746998929595495e+00 -4.251699999902441363e+01 1.471999999431263717e+01
1.999744958598382416e+00 -4.193599999359840780e+01 1.429100000226798528e+01
2.016003047692678241e+00 -4.134399999746905507e+01 1.384299999760731836e+01
2.032527662837700255e+00 -4.074200000081358297e+01 1.342699999909158493e+01
2.049325412117350531e+00 -4.014999999936900110e+01 1.304099999571766588e+01
2.066403123884995363e+00 -3.957900000166593912e+01 1.264200000632011722e+01
2.083767856018482689e+00 -3.896200000058708213e+01 1.227399999944575093e+01
2.101426905645757959e+00 -3.838000000376673171e+01 1.189500000159285342e+01
2.119387819369225934e+00 -3.777199999653662132e+01 1.153999999318352465e+01
2.137658404018960567e+00 -3.718399999897532382e+01 1.120300000418395214e+01
2.156246737966951876e+00 -3.657699999762303378e+01 1.085199999837174012e+01
2.175161183036837365e+00 -3.597399999604381549e+01 1.051300000363285569e+01
2.194410397046012928e+00 -3.538899999712657518e+01 1.019899999634317922e+01
2.214003347019637413e+00 -3.481300000072596390e+01 9.881199997289144221e+00
2.233949323118913366e+00 -3.421900000135256903e+01 9.547099999793703162e+00
2.254257953329085407e+00 -3.362200000039106840e+01 9.239099998610980080e+00
2.274939218955958076e+00 -3.303199999574886903e+01 8.957499996216981231e+00
2.296003470983327688e+00 -3.245300000168074206e+01 8.671099994402363009e+00
2.317461447347658243e+00 -3.187500000040915538e+01 8.399500002888776962e+00
2.339324291190560512e+00 -3.130999999933863975e+01 8.133099999002581626e+00
2.361603570154280352e+00 -3.073000000041455593e+01 7.868400002327453180e+00
2.384311296790379231e+00 -3.017299999655073606e+01 7.621199998573047196e+00
2.407459950157275763e+00 -2.959500000524502283e+01 7.373399998861051685e+00
2.431062498688229656e+00 -2.903499999632671802e+01 7.118599995221440047e+00
2.455132424417815873e+00 -2.847899999897583001e+01 6.883099994911559882e+00
2.479683748661994258e+00 -2.791599999952085653e+01 6.657900004535656002e+00
2.504731059254539538e+00 -2.735700000345294214e+01 6.432700005661471820e+00
2.530289539451014758e+00 -2.681799999567771309e+01 6.221099999331574537e+00
2.556374998620612793e+00 -2.627799999875240289e+01 6.013299999043769439e+00
2.583003904856244315e+00 -2.574800000410330014e+01 5.800400004273797983e+00
2.610193419644204482e+00 -2.520800000088242143e+01 5.606299999247633004e+00
2.637961434746802336e+00 -2.468200000305620279e+01 5.395899999534586655e+00
2.666326611464509888e+00 -2.415699999787864272e+01 5.220499997028173134e+00
2.695308422458689179e+00 -2.362699999564555142e+01 5.032799995921442893e+00
2.724927196331861534e+00 -2.310500000502445062e+01 4.844699997164820360e+00
2.755204165179993669e+00 -2.259299999887322130e+01 4.675300003559694773e+00
2.786161515350555451e+00 -2.208899999525065638e+01 4.507400000952930696e+00
2.817822441661357313e+00 -2.158500000029111732e+01 4.335099998673721089e+00
2.850211205358613942e+00 -2.108099999688126402e+01 4.178499995955825774e+00
2.883353196118597861e+00 -2.059100000182777634e+01 4.021099996616950278e+00
2.917274998425875676e+00 -2.009699999827849126e+01 3.868899998473964708e+00
2.952004462692850328e+00 -1.960500000056498848e+01 3.714900000343446695e+00
2.987570781520475283e+00 -1.911899999659520333e+01 3.575200002097206120e+00
3.024004571539017583e+00 -1.865100000323548812e+01 3.435500003638213506e+00
3.061337961311104028e+00 -1.818100000238143110e+01 3.298400000697381262e+00
3.099604685827492823e+00 -1.772199999769811640e+01 3.171099996793419695e+00
3.138840188179739421e+00 -1.725299999944759222e+01 3.043600002980074049e+00
3.179081729053838679e+00 -1.680100000146333628e+01 2.920299999274734937e+00
3.220368504755836803e+00 -1.634999999829368988e+01 2.805999998081232683e+00
3.262741774555255603e+00 -1.590800000354175125e+01 2.689399996314389529e+00
3.306244998215992492e+00 -1.546399999765045941e+01 2.580099999779895903e+00
3.350923984678370715e+00 -1.502499999651511864e+01 2.470399999757347587e+00
3.396827052961636007e+00 -1.458599999727282004e+01 2.364700000773201527e+00
3.444005206474991976e+00 -1.416999999791756615e+01 2.266700002195254804e+00
3.492512322059146967e+00 -1.375199999748338797e+01 2.170699999403473246e+00
3.542405355231420749e+00 -1.334099999705662398e+01 2.077200002143184676e+00
3.593744563278252979e+00 -1.293599999896427732e+01 1.985400002269015918e+00
3.646593748032344262e+00 -1.253199999927652364e+01 1.899200001245078484e+00
3.701020520391035795e+00 -1.213899999699245313e+01 1.812500002901177076e+00
3.757096588881809307e+00 -1.174799999913138926e+01 1.731399998093041015e+00
3.814898074864606414e+00 -1.136000000066695748e+01 1.653500001230630456e+00
3.874505857284365806e+00 -1.099099999929195093e+01 1.579900000392707504e+00
3.936005950257133623e+00 -1.062599999923862804e+01 1.466800001230774919e+00
3.999489917196764832e+00 -1.028699999968188195e+01 1.406900002905702607e+00
4.065055325675400510e+00 -9.924700000250398446e+00 1.326699997130726061e+00
4.132806247769990726e+00 -9.573299998655601328e+00 1.271300002837479903e+00
4.202853811291515918e+00 -9.216900000982981567e+00 1.200600000912544374e+00
4.275316808037921135e+00 -8.859499999175978857e+00 1.127099999120667162e+00
4.350322366073674729e+00 -8.510999999175854924e+00 1.086700000122617249e+00
4.428006694039274826e+00 -8.199100001801378212e+00 1.025000002407792987e+00
4.508515906658170813e+00 -7.872000002911178740e+00 9.690399980979620409e-01
4.592006941966655376e+00 -7.535599997425793006e+00 9.053699991446341189e-01
4.678648582381121024e+00 -7.228500002240297206e+00 8.697899993598906532e-01
4.768622593580758462e+00 -6.911099999129525884e+00 7.937699978656093114e-01
4.862124997376459312e+00 -6.602199999521962681e+00 7.657799991985083654e-01
4.959367497323988516e+00 -6.306399999468444761e+00 7.101099994207821231e-01
5.060579078902029515e+00 -6.019099999403875856e+00 6.865299977230273631e-01
5.166007809712488630e+00 -5.720799999646784428e+00 6.372199993245580840e-01
5.275922869493604672e+00 -5.443800000257079219e+00 6.041799997549115453e-01
5.390616844917378359e+00 -5.159699999918656133e+00 5.656100020018330898e-01
5.510408330359987339e+00 -4.883200001829954395e+00 5.301199981837509956e-01
5.635644883322714627e+00 -4.617600001271346954e+00 5.000099993687141531e-01
5.766706392237195722e+00 -4.362400001118490245e+00 4.850100006604625702e-01
5.904008925385700657e+00 -4.100100000254689903e+00 4.610000014189378770e-01
6.048009143078035166e+00 -3.868200001426808310e+00 4.396400015356535240e-01
6.199209371654985645e+00 -3.630499998504279180e+00 4.229599992334124869e-01
6.358163458107677357e+00 -3.422699999214664057e+00 4.133600005462143012e-01
6.525483549110511206e+00 -3.196899999658066704e+00 3.817600015703119798e-01
6.701847969356741430e+00 -2.996300000117618989e+00 3.757199983742253724e-01
6.888010412949983952e+00 -2.737899999991212585e+00 3.305900013047796682e-01
7.084810710462841499e+00 -2.537499998989240169e+00 3.415200007988273834e-01
7.293187496064688524e+00 -2.338600000801237755e+00 3.091200008618746331e-01
7.514193177763618614e+00 -2.139900000125331658e+00 2.894000012342481942e-01
7.749011714568731612e+00 -1.958399998697544220e+00 2.778900008163184832e-01
7.998979834393529664e+00 -1.779500001289898492e+00 2.554700003464705493e-01
8.265612495539981452e+00 -1.638700001018437380e+00 2.449000003988684449e-01
