# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
7.293187496064689190e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 7.787464569591394659e-01 1.279623415844774459e-01 -3.855954856110316298e-02 -9.288049999762725273e-01 -2.348484123671511492e-01 8.859235034167871337e-02 -4.977959373131465165e-02 5.693680570560286786e-02 7.434929859281775855e-01 3.436109456322326144e-02 2.221459195085991600e-01 -5.650480169453574453e-01 -1.564936690509349804e-01
7.335637158230791099e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 7.825185953385677129e-01 1.233304039189116741e-01 -3.456601840931679270e-02 -9.351680442830169193e-01 -2.303147231307368092e-01 8.445086190742691346e-02 -4.474509382547361969e-02 5.122199086675633534e-02 7.516399106291213883e-01 3.240131776874987518e-02 2.159587716021287296e-01 -5.615186894253798577e-01 -1.595795176031484797e-01
7.378086820396891898e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 7.852262024040189692e-01 1.199662360542723682e-01 -3.164887137043376902e-02 -9.403961498982771339e-01 -2.270529265902939964e-01 8.138274997391127530e-02 -4.097795650476444146e-02 4.644596939159496146e-02 7.581593282686960311e-01 3.100630222928246749e-02 2.108343695020215014e-01 -5.589665927200799800e-01 -1.603317583601769070e-01
7.420536482562993807e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 7.892477416801650936e-01 1.177872805279086277e-01 -2.743761590891537552e-02 -9.443965605891857518e-01 -2.226969027763254505e-01 7.973143307229210719e-02 -3.613029354133009963e-02 4.312594071018072128e-02 7.647117638104248272e-01 2.955812839972512401e-02 2.057301077898500419e-01 -5.564017806281433831e-01 -1.685860339364991523e-01
7.462986144729094606e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 7.937265072442608593e-01 1.160536439774800671e-01 -2.277507684043942465e-02 -9.479719058901150408e-01 -2.179647177332356967e-01 7.861283303738489381e-02 -3.090491488599046016e-02 4.031761703638895439e-02 7.713198275323251973e-01 2.813460985114805274e-02 2.005455626165267569e-01 -5.538597202545793019e-01 -1.816432817062335059e-01
7.505435806895196515e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 7.985276046104119452e-01 1.146970665443056009e-01 -1.775719481534698135e-02 -9.511273781301785579e-01 -2.129789928871460847e-01 7.793607171665802025e-02 -2.539781807610464598e-02 3.799963240487752580e-02 7.778801798976046067e-01 2.676155195588990343e-02 1.953582681465054760e-01 -5.513521098672539145e-01 -2.007953846191562752e-01
7.547885469061297314e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.028710905722697966e-01 1.139949600654990985e-01 -1.317740358385686289e-02 -9.535216995725142031e-01 -2.085620275477055585e-01 7.782612697895020804e-02 -2.045812776526727966e-02 3.636521842539683358e-02 7.834870572589541782e-01 2.564799473907019775e-02 1.908649480019756206e-01 -5.492935475739273432e-01 -2.231981860887875813e-01
7.590335131227399224e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.071065119723866976e-01 1.133392933173582584e-01 -8.317271908145339523e-03 -9.559684838291215847e-01 -2.042606821845298071e-01 7.775604806761457488e-02 -1.523532004811099794e-02 3.473928719202024756e-02 7.891058180822270174e-01 2.460368117458035936e-02 1.862905007431926163e-01 -5.471781545999473417e-01 -2.526623578222443878e-01
7.632784793393500022e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.113291041693863059e-01 1.127862419082798773e-01 -3.239686969319231953e-03 -9.583669138051538194e-01 -1.999849101726675071e-01 7.779833049719118987e-02 -9.791436884767579230e-03 3.321303203773476320e-02 7.947266443420830662e-01 2.362276112916403270e-02 1.816505945287529011e-01 -5.450438229240123222e-01 -2.906501645671819012e-01
7.675234455559601932e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.149713747188100932e-01 1.129436947137101993e-01 1.572239450925285408e-03 -9.601849291231884242e-01 -1.964163122082069612e-01 7.844408835608657204e-02 -4.710848264419106521e-03 3.221664621309643789e-02 7.994460949194222010e-01 2.289647354203977470e-02 1.776574315385380243e-01 -5.433129064080185477e-01 -3.328351262154810031e-01
7.717684117725704951e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.184500142343359430e-01 1.133800484398621855e-01 6.234795278035165644e-03 -9.617469262344555680e-01 -1.930670846665985818e-01 7.934160662121257646e-02 1.715747001482004241e-04 3.145362175558307632e-02 8.038557419889962308e-01 2.227967474115790519e-02 1.738645832698458571e-01 -5.417531598128592085e-01 -3.776230577696674251e-01
7.760133779891805750e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.218393866837200301e-01 1.140339975703981018e-01 1.074558109671631782e-02 -9.630953863023611339e-01 -1.898471038446593318e-01 8.043982492676872431e-02 4.865057483601924020e-03 3.088964538140829066e-02 8.080459603682794700e-01 2.174516362428098940e-02 1.702088760074395302e-01 -5.403354014907334468e-01 -4.221536801185009624e-01
7.802583442057906549e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.252674778071591444e-01 1.146078535651485208e-01 1.526458481795401126e-02 -9.645003344875573426e-01 -1.865726438628092787e-01 8.146318055774907918e-02 9.579295090836685220e-03 3.028065463956964784e-02 8.123476364006374517e-01 2.122714108219065504e-02 1.664252225171719002e-01 -5.388866180549851670e-01 -4.664848199368469839e-01
7.845033104224007348e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.281067284029391962e-01 1.154385844249797149e-01 1.954787812470272848e-02 -9.654312072777012643e-01 -1.839396514972682362e-01 8.266935518492364576e-02 1.397209183116847851e-02 3.010478425018733167e-02 8.157631779625602597e-01 2.088476753225824295e-02 1.633520545051815043e-01 -5.376442733039288324e-01 -5.038655815321045894e-01
7.887482766390109257e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.307772922059115661e-01 1.166980278880328098e-01 2.366708470914076490e-02 -9.660883007553070501e-01 -1.815437781772310799e-01 8.425725663369661167e-02 1.814215777788581035e-02 3.016424391326034266e-02 8.188480373564244186e-01 2.064822409499833186e-02 1.605037385485772461e-01 -5.366255128307482192e-01 -5.340438296437934884e-01
7.929932428556210056e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.329926378414684862e-01 1.184831429005171605e-01 2.723830898621823829e-02 -9.660676383241086906e-01 -1.797087558867476731e-01 8.627982506693146481e-02 2.165611033856668782e-02 3.080713438209945268e-02 8.209717985716109556e-01 2.057875589988793566e-02 1.584494455285010983e-01 -5.360016762314802063e-01 -5.525527978104564086e-01
7.972382090722311965e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.350278228484220300e-01 1.203313179313966058e-01 3.103993853600241562e-02 -9.660272475713406193e-01 -1.780643989095002100e-01 8.833497136084751677e-02 2.539150090106649313e-02 3.152363586743565232e-02 8.229616059203308520e-01 2.057423263031745234e-02 1.564641614493516852e-01 -5.353320237588015118e-01 -5.692515716648016699e-01
