# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
8.142180739386717381e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.034185760650061958e-01 8.861421435734383178e-02 -3.892086090786778946e-02 -6.131825553742503709e-02 -1.042443565621318513e-01 6.988589881809957605e-02 -2.629980857908970071e-02 -6.829315928136214797e-02 8.292923644414552653e-01 2.110656026459279550e-02 1.496010752939519461e-01 -7.111490346022057984e-01 -1.429020527865752621e+00
8.184630401552819290e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.039208150179159906e-01 9.129288380479171072e-02 -3.794726681590285949e-02 -6.070188064165610992e-02 -1.042676005583199339e-01 7.254324477351566103e-02 -2.539189444254529374e-02 -6.752321748272896440e-02 8.305319438282799949e-01 2.133838809106084616e-02 1.481296680806591659e-01 -7.098796366227235755e-01 -1.421003858873882697e+00
8.227080063718920089e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.040110986529469317e-01 9.360085715057195332e-02 -3.710235962792178543e-02 -6.035077204616436097e-02 -1.046334583246577993e-01 7.475549991816912709e-02 -2.455933027445169822e-02 -6.703969590673453105e-02 8.310159877235576698e-01 2.163402689979032623e-02 1.473499853766520040e-01 -7.082978931880461460e-01 -1.414310297672038308e+00
8.269529725885021998e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.039576737875171242e-01 9.586836263029202554e-02 -3.619556578152398341e-02 -5.998137073430351296e-02 -1.051388822375797644e-01 7.690422883470274251e-02 -2.367002384575392013e-02 -6.652343098660332132e-02 8.312381027701629677e-01 2.195408186991592431e-02 1.468078153599211011e-01 -7.064587019816973568e-01 -1.407792053775443142e+00
8.311979388051122797e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.038646342023840541e-01 9.813558140458764067e-02 -3.518274412008465940e-02 -5.956158081896072154e-02 -1.056853196261000466e-01 7.903451206740909341e-02 -2.268644798866405535e-02 -6.593428066271625476e-02 8.313872766928989133e-01 2.227784517105655879e-02 1.463348781360445383e-01 -7.042592557043075852e-01 -1.401094176172374750e+00
8.354429050217224706e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.038232455815021771e-01 1.004563546045741246e-01 -3.417395018579630350e-02 -5.909500809678732564e-02 -1.061854956355184759e-01 8.122132840080131810e-02 -2.171810832875504388e-02 -6.529754483189896541e-02 8.316480172871810739e-01 2.260770926100492267e-02 1.457442734518140104e-01 -7.021247707697197971e-01 -1.394360284102679648e+00
8.396878712383325505e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.037444333225824744e-01 1.027243083365956683e-01 -3.317509197038116808e-02 -5.856491461089666922e-02 -1.067204172257345540e-01 8.335452225156575468e-02 -2.077394862038442480e-02 -6.459806362826243931e-02 8.318367202354125522e-01 2.294169059842504632e-02 1.452215891661624014e-01 -7.000823795565298546e-01 -1.387974227241223213e+00
8.439328374549427414e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.036214908892340469e-01 1.048952993058202415e-01 -3.219333168714930832e-02 -5.795007758410520432e-02 -1.072914846405991079e-01 8.539109873758625457e-02 -1.986544759644710487e-02 -6.381655152556511834e-02 8.319294447104623735e-01 2.327029067681841284e-02 1.448002646127192206e-01 -6.981954108295286288e-01 -1.382084848071060135e+00
8.481778036715528213e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.035554995325106864e-01 1.070997889504630429e-01 -3.120488071577552647e-02 -5.732186177947852512e-02 -1.078149171379806093e-01 8.746255881600474569e-02 -1.895475516378680378e-02 -6.301920224263218850e-02 8.321424459470301294e-01 2.360445814672959552e-02 1.442530959062402751e-01 -6.962378195019232052e-01 -1.376056360856099836e+00
8.524227698881630122e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.032858515438847435e-01 1.092814431173705497e-01 -3.024695557364273993e-02 -5.665972990565307926e-02 -1.085408272835285542e-01 8.947654289348395962e-02 -1.808263522819978514e-02 -6.219217839256643149e-02 8.319929667236316551e-01 2.398201166557119290e-02 1.440250216107971659e-01 -6.944061499852006714e-01 -1.370618103268243626e+00
8.566677361047732031e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.028948231535360858e-01 1.114440757350780992e-01 -2.926762344456858983e-02 -5.596251796710957627e-02 -1.093852177079461530e-01 9.144013724582292224e-02 -1.719794875435022227e-02 -6.132377318963802559e-02 8.316272408932130489e-01 2.438279915212113180e-02 1.439899599546658193e-01 -6.924742205565427300e-01 -1.365400481952205647e+00
8.609127023213832830e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.024601443133180023e-01 1.135828667373268430e-01 -2.828060555354345793e-02 -5.526483897206812407e-02 -1.102680778322930183e-01 9.335660489447855648e-02 -1.630693958751640305e-02 -6.045099267240317681e-02 8.311893747673678723e-01 2.479474346004226226e-02 1.440158817725898655e-01 -6.904089440267845434e-01 -1.360245100399850582e+00
8.651576685379934739e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.019421328637038382e-01 1.157172164465260222e-01 -2.727944784559827723e-02 -5.454840126382833054e-02 -1.112388121786064971e-01 9.525999291492624754e-02 -1.540849595420797427e-02 -5.955540566139286979e-02 8.306097815720597799e-01 2.523280767612300080e-02 1.441574107518172054e-01 -6.882246949042707396e-01 -1.355169466262124534e+00
8.694026347546035538e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.014137721986968943e-01 1.178657583842550316e-01 -2.627450831085487160e-02 -5.381465911360650001e-02 -1.122266541319953959e-01 9.717387625343641699e-02 -1.451181069745540245e-02 -5.864042226062517876e-02 8.300254930314706625e-01 2.568687589640390040e-02 1.442876310721254440e-01 -6.859613865946283529e-01 -1.350063508766552678e+00
8.736476009712137447e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.008393638297063077e-01 1.200169855420740728e-01 -2.523852255121738705e-02 -5.305285162285534872e-02 -1.132647053000723630e-01 9.908030108674401037e-02 -1.359229033024116767e-02 -5.768942533280851243e-02 8.293672243296015267e-01 2.615861968180334396e-02 1.444741559885951432e-01 -6.835015118305963755e-01 -1.344885350810695712e+00
8.778925671878239356e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.001835565676666873e-01 1.220387825870696136e-01 -2.418955472292820194e-02 -5.213687290721373546e-02 -1.143617728669151790e-01 1.008491578875906208e-01 -1.269473152390363478e-02 -5.658101066277274743e-02 8.285272880443840249e-01 2.661173471598487356e-02 1.448609772396310946e-01 -6.811672688415042476e-01 -1.340213570237035245e+00
8.821375334044340155e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.995474161109481281e-01 1.239076079684629794e-01 -2.312907259239430427e-02 -5.102641199558276969e-02 -1.154081855208538149e-01 1.024627391617449618e-01 -1.182979018607826713e-02 -5.527595484738230536e-02 8.276772978644768575e-01 2.701303732188007831e-02 1.453096648136430746e-01 -6.790360427037396285e-01 -1.336001302706771643e+00
8.863824996210440954e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.989512929936671615e-01 1.257297190831174749e-01 -2.210061696325104838e-02 -4.982263163396142419e-02 -1.164053727110487685e-01 1.040342140689943656e-01 -1.101919085936502174e-02 -5.388379744641189767e-02 8.268921213287954153e-01 2.739821468739258095e-02 1.457096639838119934e-01 -6.771293970760620118e-01 -1.332053762757275939e+00
8.906274658376542863e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.983155191064636780e-01 1.276053715253456788e-01 -2.105208148954050562e-02 -4.858737008891649001e-02 -1.174479066808181010e-01 1.056507254087532821e-01 -1.019849180137369186e-02 -5.245494298975291597e-02 8.260578253768363632e-01 2.781161684218285898e-02 1.461305577809807743e-01 -6.750612185330107096e-01 -1.327940638281712271e+00
8.948724320542644772e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.976718361957978232e-01 1.294005824916909242e-01 -1.998718668890418770e-02 -4.731788167056392297e-02 -1.184980069811489567e-01 1.071803966812501091e-01 -9.372004934698335843e-03 -5.098690496907432035e-02 8.251977058058508341e-01 2.821691404607597903e-02 1.465853801480731800e-01 -6.727892759242748433e-01 -1.323812924598875229e+00
8.991173982708745571e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.969539742800619608e-01 1.311526028712745873e-01 -1.884262583111649680e-02 -4.599008606812549776e-02 -1.196193878205730476e-01 1.086463140839611374e-01 -8.482753294057628068e-03 -4.944203811451519659e-02 8.241975697814734048e-01 2.862929174296440990e-02 1.471731384755621819e-01 -6.699903830115860881e-01 -1.319375589451295516e+00
9.033623644874848591e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.959654281958541189e-01 1.329573895643151316e-01 -1.798546301645842505e-02 -4.467086327709744731e-02 -1.210108083376025268e-01 1.100965520197705189e-01 -7.877810535900456670e-03 -4.796683129366006992e-02 8.227506788677748650e-01 2.912774330435600328e-02 1.481215778278691386e-01 -6.687313117179811695e-01 -1.316836229533717928e+00
9.076073307040949389e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.948351018367206589e-01 1.347381703693980026e-01 -1.718371381944593795e-02 -4.334082390650049327e-02 -1.225433729044408948e-01 1.115018751419951937e-01 -7.332838701191439490e-03 -4.649177826505157540e-02 8.210579410711500437e-01 2.966480237264235847e-02 1.492772565562076048e-01 -6.677230717544371252e-01 -1.314800399959635158e+00
9.118522969207050188e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.936091501803974380e-01 1.365050459947143857e-01 -1.642993843860041103e-02 -4.200218569156433102e-02 -1.241721386987740955e-01 1.128765289457417664e-01 -6.840031422195842412e-03 -4.501759233681240646e-02 8.192050673481160450e-01 3.023320046552652879e-02 1.505617321863574332e-01 -6.669392803509359702e-01 -1.313153631195089543e+00
9.160972631373152097e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.924788533744527630e-01 1.383116802371897325e-01 -1.567493232999861083e-02 -4.065137928789189226e-02 -1.257124435792726369e-01 1.142891866990751182e-01 -6.351746695790334331e-03 -4.352992658108109647e-02 8.175468627521706999e-01 3.080083586124964662e-02 1.516523013865796465e-01 -6.660870283311092210e-01 -1.311260294915453706e+00
9.203422293539252896e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.912942727600664528e-01 1.401131226115435446e-01 -1.491487087398967078e-02 -3.927857940626011679e-02 -1.273093825623029252e-01 1.156863447663712963e-01 -5.866466493231106000e-03 -4.201825324779919629e-02 8.158024279562148262e-01 3.139095828891091955e-02 1.528066137548742542e-01 -6.651481766695132025e-01 -1.309369957297678910e+00
9.245871955705353695e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.901987834213703765e-01 1.415735051444951265e-01 -1.429838100328532230e-02 -3.755108070164096812e-02 -1.287462259540075316e-01 1.167704152364058834e-01 -5.605642634341921962e-03 -4.018858131166295339e-02 8.141114587249626000e-01 3.185746586907110822e-02 1.540310754059662779e-01 -6.660100656891632109e-01 -1.309628567912707320e+00
9.288321617871455604e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.891048893702985234e-01 1.430032333620500085e-01 -1.370582825148760481e-02 -3.577632909283613022e-02 -1.301767892546330796e-01 1.178220540591870952e-01 -5.382889934638408411e-03 -3.831701752365811869e-02 8.124252245055898491e-01 3.232520221932791427e-02 1.552495732750822366e-01 -6.672160708189852629e-01 -1.310270766132080933e+00
9.330771280037557514e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.880071786887463459e-01 1.444173553034058255e-01 -1.313175593555903145e-02 -3.396633978137312410e-02 -1.316097329501030588e-01 1.188548591190238812e-01 -5.190335246374241235e-03 -3.641432944507867753e-02 8.107392771676721344e-01 3.280054231230493389e-02 1.564601805200229179e-01 -6.687457401576382132e-01 -1.311262796383919627e+00
