# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
7.293187496064689190e-01 2.190614857961345433e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.869958337143521368e-07 9.979900253304182383e-09 -1.805590379006466298e-08 -1.640781081901720289e-08 -3.199767631667901917e-08 4.435780477128454733e-09 -1.497139141889138696e-08 -1.944856583333242222e-08 7.431508040659314807e-01 3.429855290122011541e-02 2.225506430328484109e-01 -7.821823256965350080e-01 -1.664979754437652115e+00
7.335637158230791099e-01 2.414943529475280444e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.073680838238833956e-07 1.092856095147550786e-08 -1.885939455197634909e-08 -1.840024886477233739e-08 -3.403800041566035897e-08 5.001667106901930989e-09 -1.539273914529317323e-08 -2.158170462108599130e-08 7.512956154647151275e-01 3.234437556844274586e-02 2.163600089668421267e-01 -7.706821220474544543e-01 -1.650767860094306538e+00
7.378086820396891898e-01 2.639272200989209368e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.276676974220131327e-07 1.188741446759379060e-08 -1.977925276937282964e-08 -2.043201147997597828e-08 -3.614977416626039496e-08 5.560960188158126044e-09 -1.591816277646174810e-08 -2.377567356404025430e-08 7.577435060596141581e-01 3.095716341563215651e-02 2.112993305247536924e-01 -7.614383720666809685e-01 -1.639208716911136898e+00
7.420536482562993807e-01 2.978908021030043152e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.581578022640140793e-07 1.372359128893989848e-08 -2.136879356672616159e-08 -2.305597142206163049e-08 -3.966102744220057015e-08 6.756304044570404217e-09 -1.699495650615672715e-08 -2.667833155169377609e-08 7.642867792242470371e-01 2.951586934622635675e-02 2.061973514295266097e-01 -7.548222784353160186e-01 -1.626838040847382372e+00
7.462986144729094606e-01 3.341754992761810977e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.909462756113740695e-07 1.588876149316847011e-08 -2.289848479789459041e-08 -2.571108052540310564e-08 -4.323475020530797114e-08 8.269500605416686586e-09 -1.800098212436657308e-08 -2.960371816778798330e-08 7.708880798699065950e-01 2.810022409199620930e-02 2.010116960380972095e-01 -7.489686551338693432e-01 -1.613745268192210425e+00
7.505435806895196515e-01 3.704601964493587800e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.240081303671209608e-07 1.829667190466538266e-08 -2.419926268761741712e-08 -2.819509530973868285e-08 -4.657963129705271656e-08 1.006646804182908352e-08 -1.880574439681536559e-08 -3.232060824750600122e-08 7.774410945704272047e-01 2.673603415285065454e-02 1.958228712767221547e-01 -7.437269615212789287e-01 -1.599989773019745654e+00
7.547885469061297314e-01 4.067448936225355625e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.571226652960634162e-07 2.088315860422630403e-08 -2.548954054023908371e-08 -3.056927690525350138e-08 -4.990254635317668165e-08 1.204063891597674947e-08 -1.961474082313026688e-08 -3.492899335541511968e-08 7.830983967856333106e-01 2.562849162834847025e-02 1.912731115860182296e-01 -7.398274608400543517e-01 -1.587509001739589198e+00
7.590335131227399224e-01 4.458892094881151969e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.929707313155563102e-07 2.383442867700699572e-08 -2.670828084401387691e-08 -3.310203069668469558e-08 -5.339454733814511528e-08 1.435184870483485892e-08 -2.031873410095366094e-08 -3.768308677061801712e-08 7.886800664478865741e-01 2.459454990340746369e-02 1.867253836487059726e-01 -7.353837474918741846e-01 -1.573826088238800214e+00
7.632784793393500022e-01 5.041047051246463925e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.459449875346603978e-07 2.810469683938541590e-08 -2.875806589557773494e-08 -3.696318310980615534e-08 -5.890547598664871919e-08 1.762613019461673533e-08 -2.159237425985942387e-08 -4.190785818532269076e-08 7.943053479312340848e-01 2.362269033313286679e-02 1.820719617356330589e-01 -7.304987307876297242e-01 -1.558891465047676617e+00
7.675234455559601932e-01 5.623202007611791763e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.989849163674116887e-07 3.275397475723866191e-08 -3.076394979261802575e-08 -4.072433034631234594e-08 -6.441965415592503375e-08 2.127810742030473782e-08 -2.283258809261748857e-08 -4.602920595776437059e-08 7.990526836285045675e-01 2.290503722157688146e-02 1.780422791499185475e-01 -7.267982445234926203e-01 -1.545027138491616991e+00
7.717684117725704951e-01 6.205356963977119601e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.522041127312902049e-07 3.771860315911771760e-08 -3.264543362795058980e-08 -4.434200498317964543e-08 -6.981643320936926344e-08 2.526571325579307155e-08 -2.396858586221424381e-08 -4.998858462569449473e-08 8.034601276059659680e-01 2.229767009786649129e-02 1.742422022961675476e-01 -7.237153457535701051e-01 -1.531790394375876829e+00
7.760133779891805750e-01 6.787511920342431557e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.056249219326303412e-07 4.301794370070570291e-08 -3.439118877257950599e-08 -4.781695663105810416e-08 -7.507504667411656796e-08 2.960953474806121921e-08 -2.498909230800893236e-08 -5.378390136469469273e-08 8.076812150443167804e-01 2.177139290969546184e-02 1.705473920459877613e-01 -7.210422016755617669e-01 -1.518868352073829309e+00
7.802583442057906549e-01 7.517150799047783600e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.725830450121733847e-07 4.956986059014225545e-08 -3.659260979305397269e-08 -5.223461586589472713e-08 -8.164869728377455769e-08 3.496351097453973237e-08 -2.627359030772628149e-08 -5.860077260560287157e-08 8.120906814683365171e-01 2.125965054408422358e-02 1.666496679875792697e-01 -7.179334790823499457e-01 -1.505375019430422956e+00
7.845033104224007348e-01 8.443610351777618489e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.569971110182404487e-07 5.783580708866405774e-08 -3.964549361150374685e-08 -5.779653498550883989e-08 -9.059640299233282203e-08 4.163096430607681046e-08 -2.817181801534314881e-08 -6.471507155613736212e-08 8.153523154633645076e-01 2.093082294894386269e-02 1.637168615876916367e-01 -7.156508359734863323e-01 -1.493581739385795970e+00
