# freqs(eV) eps1 eps2
8.554881557262895841e-02 -6.982336000000000098e+00 6.189300000000000912e-01
8.678901799218778634e-02 -6.068160000000000664e+00 5.622480000000000810e-01
8.802881709190933657e-02 -5.327724999999999156e+00 5.269080000000000430e-01
8.926854353699696654e-02 -4.732658999999999949e+00 4.573799999999999533e-01
9.050865594520586532e-02 -4.251814999999999678e+00 3.756479999999999819e-01
9.174839044888423445e-02 -3.788303999999999672e+00 3.116800000000000126e-01
9.298837304575739704e-02 -3.353647999999999740e+00 2.896139999999999826e-01
9.422794475797788283e-02 -2.955600000000000005e+00 2.719179999999999930e-01
9.546791979140656359e-02 -2.611524000000000179e+00 2.588799999999999990e-01
9.670776290558068256e-02 -2.316015000000000157e+00 2.468880000000000241e-01
9.794772355714059797e-02 -2.063832000000000111e+00 2.388740000000000308e-01
9.918734994647976366e-02 -1.832012000000000196e+00 2.223840000000000261e-01
1.004270210948749048e-01 -1.596515000000000128e+00 2.000280000000000113e-01
1.016672166961318236e-01 -1.376891999999999783e+00 1.834559999999999802e-01
1.029068138253844689e-01 -1.177660000000000151e+00 1.697280000000000177e-01
1.041463841753744041e-01 -9.977629999999998445e-01 1.583160000000000123e-01
1.053866120114407695e-01 -8.306640000000000690e-01 1.482300000000000006e-01
1.066264651683448555e-01 -6.687949999999999173e-01 1.364519999999999900e-01
1.078658008170133992e-01 -5.093919999999999559e-01 1.251059999999999950e-01
1.091064340817168160e-01 -3.600599999999999912e-01 1.191679999999999962e-01
1.103454854335170071e-01 -2.188799999999999912e-01 1.200319999999999998e-01
1.115858802756700130e-01 -9.290099999999999747e-02 1.292200000000000015e-01
1.128257233898441181e-01 2.072000000000002312e-02 1.333620000000000083e-01
1.140650874301719631e-01 1.332450000000000301e-01 1.331320000000000281e-01
1.153051674770984997e-01 2.448749999999999816e-01 1.428920000000000190e-01
1.165451128780911616e-01 3.335639999999999161e-01 1.539200000000000013e-01
1.177851547391768200e-01 4.185639999999999916e-01 1.579200000000000048e-01
1.190244390575707356e-01 5.015449999999999076e-01 1.606080000000000008e-01
1.202644092548472848e-01 5.781600000000000072e-01 1.658880000000000077e-01
1.215042849767247607e-01 6.503599999999999381e-01 1.674779999999999880e-01
1.227444683032370143e-01 7.199069999999999636e-01 1.656759999999999899e-01
1.239841874330997185e-01 7.832640000000000713e-01 1.673199999999999965e-01
1.252239040835266271e-01 8.515850000000001474e-01 1.631519999999999915e-01
1.264641494028903856e-01 9.155999999999999694e-01 1.710579999999999878e-01
1.277042111025160076e-01 9.723559999999999981e-01 1.742399999999999782e-01
1.289433486210659063e-01 1.019915000000000127e+00 1.845479999999999898e-01
1.301835269882817003e-01 1.057102999999999904e+00 1.836959999999999982e-01
1.314227129882337419e-01 1.097023999999999999e+00 1.554000000000000103e-01
1.326630009556161172e-01 1.160144999999999760e+00 1.381119999999999848e-01
1.339023332574813541e-01 1.234799999999999898e+00 1.402380000000000015e-01
1.351429399879006676e-01 1.285166999999999948e+00 1.658559999999999757e-01
1.363827425591522535e-01 1.313800999999999997e+00 1.838400000000000034e-01
1.376225856733263586e-01 1.340123999999999871e+00 1.716799999999999715e-01
1.388618455671658813e-01 1.371960000000000068e+00 1.477980000000000127e-01
1.401014593123979801e-01 1.429088000000000136e+00 1.460339999999999971e-01
1.413424542380780635e-01 1.479679999999999884e+00 1.510319999999999996e-01
1.425810313523922235e-01 1.503495000000000026e+00 1.645520000000000038e-01
1.438214848366138610e-01 1.523071999999999981e+00 1.680960000000000232e-01
1.450616443583710169e-01 1.541685000000000416e+00 1.441880000000000106e-01
1.463009315284493628e-01 1.597308999999999868e+00 1.366199999999999914e-01
1.475405043590686249e-01 1.625367000000000006e+00 1.352559999999999873e-01
1.487816200461998528e-01 1.671410999999999980e+00 1.423399999999999943e-01
1.500201917031879773e-01 1.689351999999999743e+00 1.483140000000000014e-01
1.512611019472467067e-01 1.715911999999999882e+00 1.389659999999999784e-01
1.525001997922531272e-01 1.742124999999999924e+00 1.426679999999999893e-01
1.537406998984434392e-01 1.782295000000000185e+00 1.362720000000000042e-01
1.549802342913746411e-01 1.805888999999999855e+00 1.506399999999999961e-01
1.562202323859380182e-01 1.805999999999999828e+00 1.479499999999999982e-01
1.574602329605025719e-01 1.844945000000000057e+00 1.195919999999999900e-01
1.586997599143676330e-01 1.877615999999999952e+00 1.233899999999999997e-01
1.599403854965875671e-01 1.902190999999999743e+00 1.297200000000000020e-01
1.611796048426344663e-01 1.924239999999999728e+00 1.332480000000000053e-01
1.624190256669195420e-01 1.943721000000000032e+00 1.339200000000000113e-01
1.636582109257104234e-01 1.963299999999999601e+00 1.345919999999999894e-01
