# freqs(eV) eps1 eps2
9.422794475797788283e-02 -1.975296000000000163e+00 3.527500000000000080e-01
9.546791979140656359e-02 -1.775115000000000220e+00 3.291479999999999961e-01
9.670776290558068256e-02 -1.554048000000000096e+00 2.904640000000000000e-01
9.794772355714059797e-02 -1.332603999999999900e+00 2.644799999999999929e-01
9.918734994647976366e-02 -1.144551000000000096e+00 2.474800000000000333e-01
1.004270210948749048e-01 -9.974809999999997290e-01 2.251199999999999868e-01
1.016672166961318236e-01 -8.503680000000000128e-01 1.930240000000000011e-01
1.029068138253844689e-01 -6.913529999999999953e-01 1.607039999999999857e-01
1.041463841753744041e-01 -5.253360000000000252e-01 1.388899999999999857e-01
1.053866120114407695e-01 -3.725519999999999943e-01 1.275139999999999885e-01
1.066264651683448555e-01 -2.356249999999999734e-01 1.242479999999999973e-01
1.078658008170133992e-01 -1.118530000000000080e-01 1.311959999999999793e-01
1.091064340817168160e-01 -1.575000000000006950e-03 1.378080000000000138e-01
1.103454854335170071e-01 1.026749999999999885e-01 1.368999999999999939e-01
1.115858802756700130e-01 2.046000000000000041e-01 1.377499999999999836e-01
1.128257233898441181e-01 2.917870000000000741e-01 1.362840000000000162e-01
1.140650874301719631e-01 3.862800000000000122e-01 1.375580000000000136e-01
1.153051674770984997e-01 4.671999999999999487e-01 1.494719999999999938e-01
1.165451128780911616e-01 5.375999999999999668e-01 1.479999999999999927e-01
1.177851547391768200e-01 6.093319999999999848e-01 1.446240000000000026e-01
1.190244390575707356e-01 6.781880000000000130e-01 1.424159999999999870e-01
1.202644092548472848e-01 7.500109999999999832e-01 1.444200000000000206e-01
1.215042849767247607e-01 8.123010000000000508e-01 1.484200000000000241e-01
1.227444683032370143e-01 8.734439999999998872e-01 1.500799999999999912e-01
1.239841874330997185e-01 9.206449999999999356e-01 1.579319999999999891e-01
1.252239040835266271e-01 9.706679999999999753e-01 1.462239999999999929e-01
1.264641494028903856e-01 1.022420000000000107e+00 1.541279999999999872e-01
1.277042111025160076e-01 1.074620999999999826e+00 1.454600000000000060e-01
1.289433486210659063e-01 1.126320000000000210e+00 1.617280000000000106e-01
1.301835269882817003e-01 1.150440999999999825e+00 1.547999999999999932e-01
1.314227129882337419e-01 1.190552999999999750e+00 1.399040000000000006e-01
1.326630009556161172e-01 1.235047999999999924e+00 1.357859999999999900e-01
1.339023332574813541e-01 1.285199999999999898e+00 1.248500000000000026e-01
1.351429399879006676e-01 1.321437000000000195e+00 1.335159999999999958e-01
1.363827425591522535e-01 1.360974999999999824e+00 1.331519999999999926e-01
1.376225856733263586e-01 1.401415999999999995e+00 1.256099999999999994e-01
1.388618455671658813e-01 1.430105000000000182e+00 1.244880000000000014e-01
