# freq(eV) epsO1 epsO2 epsE1 epsE2
9.925066550362977580e-01 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
9.967516212529078379e-01 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.000996587469517918e+00 3.058595330399505929e+00 7.044371372022834032e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.005241553686128109e+00 3.058573920304645366e+00 7.227036035004809345e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.009486519902738300e+00 3.058567368987147983e+00 7.282929958432356188e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.013731486119348268e+00 3.058588433757897906e+00 7.103211499692034525e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.017976452335958459e+00 3.058592639658809897e+00 7.067327984104423977e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.022221418552568650e+00 3.058571917404657725e+00 7.244124191483126973e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.026466384769178841e+00 3.058560000000000390e+00 7.345800000000000940e-02 2.977977800686028687e+00 6.630872322615231906e-02
1.030711350985789032e+00 3.058560000000000390e+00 7.345800000000000940e-02 2.976242798679022528e+00 6.800494868400491777e-02
1.034956317202399223e+00 3.058568286331756259e+00 7.275103442725749936e-02 2.975232882120451450e+00 6.830273549858156823e-02
1.039201283419009192e+00 3.058588331975252927e+00 7.104079879430280631e-02 2.975251949927679718e+00 6.661596793606193445e-02
1.043446249635619383e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.975264000000000131e+00 6.554999999999999716e-02
1.047691215852229574e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.975264000000000131e+00 6.554999999999999716e-02
1.051936182068839543e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.975264000000000131e+00 6.554999999999999716e-02
1.056181148285449733e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.975264000000000131e+00 6.554999999999999716e-02
1.060426114502059924e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.975266965595110502e+00 6.527347829381269229e-02
