# freq(eV) epsO1 epsO2 epsE1 epsE2
8.354429050217224706e-01 -1.809024565079273827e+02 3.417483294045971576e+01 -1.809024565079273827e+02 3.417483294045971576e+01
8.396878712383325505e-01 -1.789175380890758618e+02 3.375883892056148028e+01 -1.789175380890758618e+02 3.375883892056148028e+01
8.439328374549427414e-01 -1.771120659525837766e+02 3.352837772908670644e+01 -1.771120659525837766e+02 3.352837772908670644e+01
8.481778036715528213e-01 -1.753302244455542791e+02 3.303421034411522328e+01 -1.753302244455542791e+02 3.303421034411522328e+01
8.524227698881630122e-01 -1.735115674733432911e+02 3.267256972922405112e+01 -1.735115674733432911e+02 3.267256972922405112e+01
8.566677361047732031e-01 -1.717149240138289201e+02 3.234339319117030698e+01 -1.717149240138289201e+02 3.234339319117030698e+01
8.609127023213832830e-01 -1.698844969969107126e+02 3.200679907192734674e+01 -1.698844969969107126e+02 3.200679907192734674e+01
8.651576685379934739e-01 -1.680953567580299364e+02 3.159546362362545935e+01 -1.680953567580299364e+02 3.159546362362545935e+01
8.694026347546035538e-01 -1.664302436320002698e+02 3.123771916324669817e+01 -1.664302436320002698e+02 3.123771916324669817e+01
8.736476009712137447e-01 -1.648256713367103146e+02 3.092335036933538817e+01 -1.648256713367103146e+02 3.092335036933538817e+01
8.778925671878239356e-01 -1.632210990414203025e+02 3.060898157542406750e+01 -1.632210990414203025e+02 3.060898157542406750e+01
8.821375334044340155e-01 -1.616165267461304325e+02 3.029461278151276460e+01 -1.616165267461304325e+02 3.029461278151276460e+01
8.863824996210440954e-01 -1.600119544508405056e+02 2.998024398760145104e+01 -1.600119544508405056e+02 2.998024398760145104e+01
8.906274658376542863e-01 -1.584073821555505219e+02 2.966587519369014103e+01 -1.584073821555505219e+02 2.966587519369014103e+01
8.948724320542644772e-01 -1.568028098602605667e+02 2.935150639977882037e+01 -1.568028098602605667e+02 2.935150639977882037e+01
8.991173982708745571e-01 -1.551982375649706398e+02 2.903713760586751036e+01 -1.551982375649706398e+02 2.903713760586751036e+01
9.033623644874848591e-01 -1.535936652696806561e+02 2.872276881195619680e+01 -1.535936652696806561e+02 2.872276881195619680e+01
9.076073307040949389e-01 -1.519890929743907293e+02 2.840840001804488679e+01 -1.519890929743907293e+02 2.840840001804488679e+01
9.118522969207050188e-01 -1.503845206791007740e+02 2.809403122413357323e+01 -1.503845206791007740e+02 2.809403122413357323e+01
9.160972631373152097e-01 -1.488058759464276761e+02 2.780398191020786669e+01 -1.488058759464276761e+02 2.780398191020786669e+01
9.203422293539252896e-01 -1.472680395245085947e+02 2.756562071115441270e+01 -1.472680395245085947e+02 2.756562071115441270e+01
9.245871955705353695e-01 -1.457691430656722957e+02 2.728321698627411251e+01 -1.457691430656722957e+02 2.728321698627411251e+01
9.288321617871455604e-01 -1.442629029720653193e+02 2.683608367346038293e+01 -1.442629029720653193e+02 2.683608367346038293e+01
9.330771280037557514e-01 -1.428571593571543872e+02 2.662404291451916549e+01 -1.428571593571543872e+02 2.662404291451916549e+01
9.373220942203658312e-01 -1.414778414266334323e+02 2.643539392422396972e+01 -1.414778414266334323e+02 2.643539392422396972e+01
9.415670604369760222e-01 -1.400217895977713454e+02 2.613860303929523710e+01 -1.400217895977713454e+02 2.613860303929523710e+01
9.458120266535861020e-01 -1.387026903335456609e+02 2.589698452096795123e+01 -1.387026903335456609e+02 2.589698452096795123e+01
9.500569928701962930e-01 -1.374340304707779126e+02 2.568866559297527274e+01 -1.374340304707779126e+02 2.568866559297527274e+01
9.543019590868064839e-01 -1.359833917896391995e+02 2.543367835203927640e+01 -1.359833917896391995e+02 2.543367835203927640e+01
9.585469253034165638e-01 -1.346205475331821901e+02 2.517677795122629192e+01 -1.346205475331821901e+02 2.517677795122629192e+01
9.627918915200266436e-01 -1.332414651520913083e+02 2.494479866847349570e+01 -1.332414651520913083e+02 2.494479866847349570e+01
9.670368577366368346e-01 -1.319675434931722293e+02 2.472710768882023658e+01 -1.319675434931722293e+02 2.472710768882023658e+01
9.712818239532470255e-01 -1.308090088420785264e+02 2.452738463524696044e+01 -1.308090088420785264e+02 2.452738463524696044e+01
9.755267901698571054e-01 -1.293476236517858808e+02 2.427131217753158410e+01 -1.293476236517858808e+02 2.427131217753158410e+01
9.797717563864671853e-01 -1.280496833291715859e+02 2.403899593178676142e+01 -1.280496833291715859e+02 2.403899593178676142e+01
9.840167226030773762e-01 -1.269356864654618278e+02 2.391013727775147046e+01 -1.269356864654618278e+02 2.391013727775147046e+01
9.882616888196875671e-01 -1.257328110856216057e+02 2.367721691589150268e+01 -1.257328110856216057e+02 2.367721691589150268e+01
9.925066550362977580e-01 -1.245362841031165431e+02 2.352497892683658520e+01 -1.245362841031165431e+02 2.352497892683658520e+01
9.967516212529078379e-01 -1.234026313655918159e+02 2.334055786201689031e+01 -1.234026313655918159e+02 2.334055786201689031e+01
1.000996587469517918e+00 -1.221812021962192318e+02 2.314768190496061351e+01 -1.221812021962192318e+02 2.314768190496061351e+01
1.005241553686128109e+00 -1.210318504422191097e+02 2.297506367447024545e+01 -1.210318504422191097e+02 2.297506367447024545e+01
1.009486519902738300e+00 -1.197993610068898249e+02 2.281022683811889706e+01 -1.197993610068898249e+02 2.281022683811889706e+01
1.013731486119348268e+00 -1.186615451670012078e+02 2.260591952940859173e+01 -1.186615451670012078e+02 2.260591952940859173e+01
1.017976452335958459e+00 -1.175313524600432373e+02 2.239810780261782952e+01 -1.175313524600432373e+02 2.239810780261782952e+01
1.022221418552568650e+00 -1.164026392485215240e+02 2.222858000681776502e+01 -1.164026392485215240e+02 2.222858000681776502e+01
1.026466384769178841e+00 -1.153060802289419371e+02 2.208400242075371978e+01 -1.153060802289419371e+02 2.208400242075371978e+01
1.030711350985789032e+00 -1.142205582441140166e+02 2.195309208783274002e+01 -1.142205582441140166e+02 2.195309208783274002e+01
1.034956317202399223e+00 -1.131600312750620958e+02 2.180637173037742116e+01 -1.131600312750620958e+02 2.180637173037742116e+01
1.039201283419009192e+00 -1.121292229918981462e+02 2.165799918896831855e+01 -1.121292229918981462e+02 2.165799918896831855e+01
1.043446249635619383e+00 -1.110384146755774282e+02 2.152522911846427789e+01 -1.110384146755774282e+02 2.152522911846427789e+01
1.047691215852229574e+00 -1.099184895847374293e+02 2.138030518367873256e+01 -1.099184895847374293e+02 2.138030518367873256e+01
1.051936182068839543e+00 -1.087873843161612797e+02 2.126306480903325635e+01 -1.087873843161612797e+02 2.126306480903325635e+01
1.056181148285449733e+00 -1.077823675119577587e+02 2.110678854060513387e+01 -1.077823675119577587e+02 2.110678854060513387e+01
1.060426114502059924e+00 -1.068109569083498087e+02 2.094012973152216617e+01 -1.068109569083498087e+02 2.094012973152216617e+01
1.064671080718670115e+00 -1.058233551824506264e+02 2.083830002468721432e+01 -1.058233551824506264e+02 2.083830002468721432e+01
1.068916046935280306e+00 -1.047712306800816009e+02 2.075018983578281961e+01 -1.047712306800816009e+02 2.075018983578281961e+01
1.073161013151890497e+00 -1.038537902793658674e+02 2.056394942440134699e+01 -1.038537902793658674e+02 2.056394942440134699e+01
