# freq(eV) epsO1 epsO2 epsE1 epsE2
8.481778036715528213e-01 4.324800755888301929e+00 1.060134495838840341e+00 8.331484639029806960e-01 4.135104807428898965e+00
8.524227698881630122e-01 4.358646840856329696e+00 1.073674075706198439e+00 9.294658331902888593e-01 4.074358756204783383e+00
8.566677361047732031e-01 4.392492925824356576e+00 1.093194235316437446e+00 1.025278763210881294e+00 4.018565753307502320e+00
8.609127023213832830e-01 4.426387211124864329e+00 1.117282192778861427e+00 1.118716024440787660e+00 3.967338131921270161e+00
8.651576685379934739e-01 4.460264828043875696e+00 1.141845639689722969e+00 1.212148345980005093e+00 3.916105570844346406e+00
8.694026347546035538e-01 4.494110913011900799e+00 1.166386223912046383e+00 1.305580546900602990e+00 3.864872889148806667e+00
8.736476009712137447e-01 4.527999646871109896e+00 1.192876502002074623e+00 1.399017808130511797e+00 3.813645267762573621e+00
8.778925671878239356e-01 4.554343925156233652e+00 1.223250577374754622e+00 1.492576614780098510e+00 3.762351008263681074e+00
8.821375334044340155e-01 4.570260877221979712e+00 1.258734483953914518e+00 1.586110056707607407e+00 3.711069346476377984e+00
8.863824996210440954e-01 4.580828404607688142e+00 1.294218390533074192e+00 1.679540460156872861e+00 3.659841725090146713e+00
8.906274658376542863e-01 4.590965864684359410e+00 1.330953192499660931e+00 1.772976966135767274e+00 3.608614103703913223e+00
8.948724320542644772e-01 4.601116288634486295e+00 1.369358754358455776e+00 1.866690015234962141e+00 3.557350699926608240e+00
8.991173982708745571e-01 4.611251772879755961e+00 1.413624523849220216e+00 1.960766159737698411e+00 3.506040185949137911e+00
9.033623644874848591e-01 4.621393224862818450e+00 1.458334139170896382e+00 2.056862213432206321e+00 3.475609379815172151e+00
9.076073307040949389e-01 4.631543648812945335e+00 1.503087063763675069e+00 2.153011847822476899e+00 3.448847969521768420e+00
9.118522969207050188e-01 4.641678963987069473e+00 1.547792329935046896e+00 2.249164790186115592e+00 3.425024039575881307e+00
9.160972631373152097e-01 4.651813403017590609e+00 1.593200669978733997e+00 2.345317732549752510e+00 3.401200109629995083e+00
9.203422293539252896e-01 4.661947842048111745e+00 1.639474144232867081e+00 2.441564219694800197e+00 3.377353001981332703e+00
9.245871955705353695e-01 4.648669748802944923e+00 1.685817204636033795e+00 2.537850127777830256e+00 3.353496126959547130e+00
9.288321617871455604e-01 4.632939159218588010e+00 1.732130100615151491e+00 2.634003070141467173e+00 3.329672197013660906e+00
9.330771280037557514e-01 4.615671839946927868e+00 1.778403574869286796e+00 2.730156012505103647e+00 3.305848267067774682e+00
9.373220942203658312e-01 4.598410964918134169e+00 1.824677049123421213e+00 2.826307384441888004e+00 3.282024337121888458e+00
9.415670604369760222e-01 4.581137586674649320e+00 1.868621528036700674e+00 2.922453469024884232e+00 3.258200407176002233e+00
9.458120266535861020e-01 4.563849727413943569e+00 1.909919558989462418e+00 3.009364017130080615e+00 3.234346762791977081e+00
9.500569928701962930e-01 4.546581885694933156e+00 1.947492806346961425e+00 3.093388350499767459e+00 3.210496424505553836e+00
9.543019590868064839e-01 4.529304734444583147e+00 1.984993928519795947e+00 3.177108136561765939e+00 3.186672494559667612e+00
9.585469253034165638e-01 4.512016875183877396e+00 2.022522375907965575e+00 3.260827922623763087e+00 3.191045017814259754e+00
9.627918915200266436e-01 4.494755836370537772e+00 2.059992601527164346e+00 3.344601701741885424e+00 3.202642422337960593e+00
9.670368577366368346e-01 4.473331674685456782e+00 2.097465219640292755e+00 3.428456956713369586e+00 3.218028707653829201e+00
9.712818239532470255e-01 4.447561053008240783e+00 2.134941252097484643e+00 3.512184502134475306e+00 3.233385095042520252e+00
9.755267901698571054e-01 4.418005490582920025e+00 2.170693510925389980e+00 3.595900965433676877e+00 3.248742988659902853e+00
9.797717563864671853e-01 4.388444580359371905e+00 2.206192272727917736e+00 3.679614074258468204e+00 3.264104236751696142e+00
9.840167226030773762e-01 4.358903469305369427e+00 2.241449108846419680e+00 3.763333860320466240e+00 3.279458807606284498e+00
9.882616888196875671e-01 4.329322616395300471e+00 2.276761335701943612e+00 3.843122836072696558e+00 3.310796151969971124e+00
9.925066550362977580e-01 4.299762128180472764e+00 2.312041766939209264e+00 3.918790953462205184e+00 3.354821084742384940e+00
9.967516212529078379e-01 4.270221174304566603e+00 2.347064525218150788e+00 3.985503443535198365e+00 3.403099860453103975e+00
1.000996587469517918e+00 4.240680220428661329e+00 2.366664904662403757e+00 4.052215933608190213e+00 3.451378636163822566e+00
1.005241553686128109e+00 4.211118573840198387e+00 2.382024054556048487e+00 4.118949569997822024e+00 3.499672715130002665e+00
1.009486519902738300e+00 4.181483029830063813e+00 2.393446177880427683e+00 4.185770009083879195e+00 3.548029611837018038e+00
1.013731486119348268e+00 4.149722660546419029e+00 2.404850764282847386e+00 4.252510560531534090e+00 3.602291936139653039e+00
1.017976452335958459e+00 4.110299968719039576e+00 2.416261326865629222e+00 4.319224983483909597e+00 3.660992515584452267e+00
1.022221418552568650e+00 4.064063233820411014e+00 2.427676803229420699e+00 4.385944331337546132e+00 3.725716249271637359e+00
1.026466384769178841e+00 4.017896719344960843e+00 2.439081389631840846e+00 4.452658030750519025e+00 3.790445631399481208e+00
