# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
7.293187496064689190e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.621454658989197606e-01 -3.726690481912544595e-01 -3.735079413273553195e-01 -6.610036731348420957e-01 -2.864956574469240125e-01 -4.126893820427383064e-01 -4.136253448843861258e-01 2.876444806333309789e-01 5.768764378113127034e-01 2.531087804781542161e-01 1.700147817105330805e-01 -5.005412873341876789e-01 1.499740986121559150e+00
7.335637158230791099e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.644507448253661464e-01 -3.753214116693243674e-01 -3.761694815056577657e-01 -6.632897323675469581e-01 -2.835376245428310460e-01 -4.152655235612211504e-01 -4.162130648004874200e-01 2.847056468173143062e-01 5.819088511184429269e-01 2.535648301151233186e-01 1.645263187664337545e-01 -5.005466019458363336e-01 1.499728373831219708e+00
7.378086820396891898e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.692534244664453125e-01 -3.778669928322663241e-01 -3.787846882015315497e-01 -6.681009170020534293e-01 -2.781012809187259904e-01 -4.174183281390514422e-01 -4.184390548656620190e-01 2.792558675632655363e-01 5.902601428735401168e-01 2.523267326602087746e-01 1.574131244662511087e-01 -5.005660539810281584e-01 1.499750120907335171e+00
7.420536482562993807e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.718196161846665682e-01 -3.747390455289681954e-01 -3.756777196818444353e-01 -6.706694321220481037e-01 -2.756046904446436407e-01 -4.141947168926284895e-01 -4.152372628840637070e-01 2.767554054034365163e-01 5.913510925913678662e-01 2.482653739021610240e-01 1.603835335064711098e-01 -5.005714546378683405e-01 1.499757304063807029e+00
7.462986144729094606e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.740872537544969623e-01 -3.721457610374184766e-01 -3.731014114338050969e-01 -6.729365819525052750e-01 -2.733420293329296702e-01 -4.115379226736773366e-01 -4.125983504847084982e-01 2.744920429647392246e-01 5.924671998381085825e-01 2.448313036360342254e-01 1.627014965258571921e-01 -5.005761648594322377e-01 1.499761537833587788e+00
7.505435806895196515e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.766784459543419006e-01 -3.707135858925541538e-01 -3.716860378466493309e-01 -6.755228086783666708e-01 -2.706125559636752276e-01 -4.099930636986510724e-01 -4.110716160075127412e-01 2.717664460801586523e-01 5.949019288796746352e-01 2.420811712141335836e-01 1.630168999061917812e-01 -5.005813182147947904e-01 1.499761718370772545e+00
7.547885469061297314e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.794171315127405242e-01 -3.700279173878313621e-01 -3.709760081579636659e-01 -6.782272540781533188e-01 -2.676440492356732537e-01 -4.091728860028251979e-01 -4.102283022360964648e-01 2.688345856752530905e-01 5.980718525212929126e-01 2.398075410709217814e-01 1.621206064077853060e-01 -5.005771669408430879e-01 1.499728342886090804e+00
7.590335131227399224e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.814982827202614724e-01 -3.693304309199360036e-01 -3.703138871613672611e-01 -6.803148869927202469e-01 -2.653316868023891106e-01 -4.084192895814701130e-01 -4.095117413028081521e-01 2.665131664944176415e-01 6.004027985213252760e-01 2.379681771516865274e-01 1.616290243269881965e-01 -5.005870408129093896e-01 1.499742270890159768e+00
7.632784793393500022e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.839991106447798064e-01 -3.682584618643633956e-01 -3.692671110479884278e-01 -6.827698256536384180e-01 -2.626471177566254145e-01 -4.072351094547203010e-01 -4.083568103285117878e-01 2.638747082480920603e-01 6.030009561111918659e-01 2.356045445165762531e-01 1.613944993722318810e-01 -5.006031570950454368e-01 1.499722622334103805e+00
7.675234455559601932e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.865407487707253509e-01 -3.674626402931040481e-01 -3.684626801563343768e-01 -6.852884095880451554e-01 -2.598878928927175758e-01 -4.063166220240318482e-01 -4.074310760958442801e-01 2.611395992709532043e-01 6.058759713587744677e-01 2.334144431406241504e-01 1.607095855006013818e-01 -5.006024733118086267e-01 1.499701405563264034e+00
7.717684117725704951e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.896054909376292397e-01 -3.666185554736871577e-01 -3.676166401646193127e-01 -6.883750909545005570e-01 -2.566175552161111817e-01 -4.052766228334409582e-01 -4.063882319530768283e-01 2.578459241421167669e-01 6.094835791607409181e-01 2.308688131635115159e-01 1.596476076757475659e-01 -5.005950508847216707e-01 1.499706916807866941e+00
7.760133779891805750e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.918778540695960100e-01 -3.657077975387533764e-01 -3.666950547662134463e-01 -6.906226357380076397e-01 -2.541472298136509544e-01 -4.042728939053367720e-01 -4.053750413584679690e-01 2.554017354832135434e-01 6.119310231581520654e-01 2.287931789063826771e-01 1.592757979354652575e-01 -5.005940922896294776e-01 1.499684106662043215e+00
