# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
7.293187496064689190e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.136269723029555312e-01 4.056447684818820232e-02 -5.726050757035925504e-02 -4.189332537215099961e-02 -8.763036589753497863e-02 3.433399768600282898e-02 -5.351372763692416323e-02 -4.625984718414369312e-02 8.413935377393848558e-01 1.386159693153753668e-02 1.447448653290775988e-01 -8.130667944775821221e-01 -1.654237771359142295e+00
7.335637158230791099e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.163139629906869033e-01 4.068348996054511196e-02 -5.466599240367515933e-02 -4.297193336330465407e-02 -8.495245189452042822e-02 3.463600613525434635e-02 -5.083851265731807734e-02 -4.712885887174924487e-02 8.461213829095266536e-01 1.322225571165373120e-02 1.406563613788196221e-01 -8.020665085163527497e-01 -1.638818336637879236e+00
7.378086820396891898e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.185425198897682053e-01 4.083537072457986417e-02 -5.280301608311774308e-02 -4.392503173365362723e-02 -8.273364452400704117e-02 3.492911096384215125e-02 -4.889639146401597580e-02 -4.793504479511576100e-02 8.501054552679354614e-01 1.275352434666120714e-02 1.371410203854033227e-01 -7.932754865668179001e-01 -1.625999737970162062e+00
7.420536482562993807e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.208059019130241385e-01 4.150040454144703073e-02 -5.082289608216056243e-02 -4.410888648524148581e-02 -8.052782139794427418e-02 3.573689437733336416e-02 -4.690348568656894923e-02 -4.797049531697449715e-02 8.541343532081075995e-01 1.226296102934194485e-02 1.336026857625504660e-01 -7.868113221216334052e-01 -1.613471113449785443e+00
7.462986144729094606e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.230797933075584050e-01 4.234602393182745200e-02 -4.880953794326093470e-02 -4.401837431961320990e-02 -7.832875323972564308e-02 3.672655206654353022e-02 -4.490076431134937263e-02 -4.773102101368369848e-02 8.581894788275359343e-01 1.177856221353842416e-02 1.300319589589256364e-01 -7.810066334299911039e-01 -1.600717429591887342e+00
7.505435806895196515e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.253058493670406337e-01 4.333359793104401420e-02 -4.677553149515332326e-02 -4.369541031474995230e-02 -7.619142070548350076e-02 3.785595530690970961e-02 -4.289706782738710727e-02 -4.725897812098028838e-02 8.621659548117382998e-01 1.131177538254546887e-02 1.265222698057162365e-01 -7.757289024335095595e-01 -1.587830302377446934e+00
7.547885469061297314e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.272091059148409586e-01 4.435167027779437360e-02 -4.507136962424346943e-02 -4.325684815022674823e-02 -7.437952094967488492e-02 3.899028711368278388e-02 -4.122893610013366600e-02 -4.669955604723042414e-02 8.655863800195258140e-01 1.093322933286786439e-02 1.234803906476063251e-01 -7.717523859769040984e-01 -1.576533217370734485e+00
7.590335131227399224e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.290281947191459944e-01 4.556330529711476868e-02 -4.329684943198829766e-02 -4.285081849269535559e-02 -7.266370438211798566e-02 4.031520590273742627e-02 -3.948843441007666988e-02 -4.616555105662201869e-02 8.688802111889436519e-01 1.059592431803244895e-02 1.205238644930238939e-01 -7.672467472261478294e-01 -1.564001120932964950e+00
7.632784793393500022e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.308375132639093996e-01 4.692491003164995372e-02 -4.147538556874655336e-02 -4.245934798698699358e-02 -7.096759219368314886e-02 4.179129063031342822e-02 -3.770029236082081403e-02 -4.564099389913971183e-02 8.721834271203734446e-01 1.028732348250891229e-02 1.175292493971176466e-01 -7.623015456983923688e-01 -1.550357831273550202e+00
7.675234455559601932e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.324114710998294697e-01 4.850673243343448654e-02 -3.997921060106775226e-02 -4.204206471272219081e-02 -6.952024135772348623e-02 4.346663784538334907e-02 -3.623620201554744041e-02 -4.511786867656451122e-02 8.751099270155102694e-01 1.007109697444512342e-02 1.148189760100446072e-01 -7.585406031256907156e-01 -1.537524280450119019e+00
