# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
7.293187496064689190e-01 2.190614857961345433e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.001404820161092884e-07 8.886114568907009783e-09 -1.254357186580370551e-08 -9.177214100964299507e-09 -1.919643815437293184e-08 7.521256546416825511e-09 -1.172279668663427656e-08 -1.013375085686064835e-08 8.413935377393845227e-01 1.386159693153753668e-02 1.447448653290779319e-01 -8.130667944775821221e-01 -1.654237771359142295e+00
7.335637158230791099e-01 2.414943529475280444e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.212846475892210816e-07 9.824833083669092314e-09 -1.320152846376001293e-08 -1.037747924247555052e-08 -2.051553740157321280e-08 8.364399890319859070e-09 -1.227721371899374106e-08 -1.138135327838845191e-08 8.461213829095266536e-01 1.322225571165373120e-02 1.406563613788196221e-01 -8.020665085163526387e-01 -1.638818336637879014e+00
7.378086820396891898e-01 2.639272200989209368e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.424283738171642976e-07 1.077756587704722152e-08 -1.393615324765587923e-08 -1.159301151822008435e-08 -2.183566080787349436e-08 9.218743157213600301e-09 -1.290508867196634172e-08 -1.265136311809215246e-08 8.501054552679353504e-01 1.275352434666120888e-02 1.371410203854034338e-01 -7.932754865668179001e-01 -1.625999737970162062e+00
7.420536482562993807e-01 2.978908021030043152e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.742996087020510511e-07 1.236258879645081867e-08 -1.513967327911244413e-08 -1.313963157495895213e-08 -2.398849730784109401e-08 1.064569213073418116e-08 -1.397211697259880697e-08 -1.428996932725194774e-08 8.541343532081073775e-01 1.226296102934194311e-02 1.336026857625506881e-01 -7.868113221216334052e-01 -1.613471113449785443e+00
7.462986144729094606e-01 3.341754992761810977e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.084706508003073648e-07 1.415100368977955320e-08 -1.631095171162893098e-08 -1.470986221558257209e-08 -2.617555022156610849e-08 1.227311387352984654e-08 -1.500473533162731129e-08 -1.595053777820964392e-08 8.581894788275358232e-01 1.177856221353842936e-02 1.300319589589257474e-01 -7.810066334299911039e-01 -1.600717429591887342e+00
7.505435806895196515e-01 3.704601964493587800e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.427889867322546248e-07 1.605337320239209522e-08 -1.732847258671766956e-08 -1.618741028913760785e-08 -2.822588868230915774e-08 1.402412463977591817e-08 -1.589165617443529220e-08 -1.750757031869430568e-08 8.621659548117380778e-01 1.131177538254546713e-02 1.265222698057164585e-01 -7.757289024335095595e-01 -1.587830302377446934e+00
7.547885469061297314e-01 4.067448936225355625e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.771375691511783049e-07 1.803981540912324840e-08 -1.833254944323489237e-08 -1.759450209931015601e-08 -3.025349033637067040e-08 1.585910018436702305e-08 -1.676965922821918173e-08 -1.899480595665037252e-08 8.655863800195258140e-01 1.093322933286786265e-02 1.234803906476063251e-01 -7.717523859769039873e-01 -1.576533217370734485e+00
7.590335131227399224e-01 4.458892094881151969e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.142436473354908279e-07 2.031618618059615389e-08 -1.930559796655521033e-08 -1.910671758362664098e-08 -3.239996170542067501e-08 1.797611529032218899e-08 -1.760746680303237465e-08 -2.058472106622041288e-08 8.688802111889439850e-01 1.059592431803244722e-02 1.205238644930235747e-01 -7.672467472261478294e-01 -1.564001120932964950e+00
7.632784793393500022e-01 5.041047051246463925e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.692395701428622315e-07 2.365506793450546126e-08 -2.090793701206399326e-08 -2.140395709676482599e-08 -3.577509713620280085e-08 2.106718623997254931e-08 -1.900489476366453649e-08 -2.300783977112160794e-08 8.721834271203736666e-01 1.028732348250891403e-02 1.175292493971174246e-01 -7.623015456983923688e-01 -1.550357831273550202e+00
7.675234455559601932e-01 5.623202007611791763e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.243138056208825617e-07 2.727631552023768359e-08 -2.248111773146588175e-08 -2.364110226967243291e-08 -3.909263607724070401e-08 2.444216851962943322e-08 -2.037634839220528369e-08 -2.537068897212227244e-08 8.751099270155103804e-01 1.007109697444512515e-02 1.148189760100444962e-01 -7.585406031256907156e-01 -1.537524280450119019e+00
7.717684117725704951e-01 6.205356963977119601e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.795180774370442810e-07 3.110318545932442757e-08 -2.396805969133208102e-08 -2.579550113788131811e-08 -4.229715097427354143e-08 2.802906874283724816e-08 -2.166736234359280151e-08 -2.764570031572880654e-08 8.779008234959211343e-01 9.890385928863373172e-03 1.122087905752154890e-01 -7.553836846996929699e-01 -1.525313191580650818e+00
7.760133779891805750e-01 6.787511920342431557e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.348421837522232425e-07 3.513469087128454980e-08 -2.536004284135272472e-08 -2.786864748585013403e-08 -4.539896650308902261e-08 3.182659656182825327e-08 -2.286924599238640482e-08 -2.983346777206045289e-08 8.805644394592035962e-01 9.739539052291633012e-03 1.096960214885047691e-01 -7.526081085896835221e-01 -1.513557630528169717e+00
7.802583442057906549e-01 7.517150799047783600e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.041292361847535830e-07 4.013317598833984632e-08 -2.711335958153791252e-08 -3.050421255650810533e-08 -4.933569941722177396e-08 3.653012062755159182e-08 -2.438162182132935644e-08 -3.261187425328421962e-08 8.831992187357907698e-01 9.603067529546207085e-03 1.071977137346630249e-01 -7.494117850727770591e-01 -1.501473197385515324e+00
7.845033104224007348e-01 8.443610351777618489e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.918845360732887955e-07 4.645927788582173409e-08 -2.950489109795818922e-08 -3.381447222424829926e-08 -5.455530727071841661e-08 4.246545132732146793e-08 -2.646904772985770688e-08 -3.611710311198820605e-08 8.854161909882913850e-01 9.516367216592118775e-03 1.050674417951164979e-01 -7.470224825068344510e-01 -1.490775252504740189e+00
7.887482766390109257e-01 9.370069904507476672e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.797273377929749653e-07 5.311004143281200537e-08 -3.185847001773068664e-08 -3.698288790571603313e-08 -5.971476954379201366e-08 4.872614940278692402e-08 -2.852798715790428064e-08 -3.948068933602248137e-08 8.874025579049404922e-01 9.467917646118307468e-03 1.031295244489412039e-01 -7.455426439156774832e-01 -1.481318565928885000e+00
7.929932428556210056e-01 1.029652945723731156e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.675518767532295350e-07 6.009936628525850692e-08 -3.437511009960717404e-08 -3.997964194689211586e-08 -6.492087776500203482e-08 5.531508507157302669e-08 -3.076031440709463526e-08 -4.269059147945622377e-08 8.890414600230516218e-01 9.473026653437112421e-03 1.014855133235112727e-01 -7.457989047321149645e-01 -1.474122310248207279e+00
7.972382090722311965e-01 1.122298900996716869e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.055369074148532874e-06 6.763726073480246041e-08 -3.670811939894113790e-08 -4.291936003008036109e-08 -7.017524915554492970e-08 6.244962957158292581e-08 -3.281282679554926053e-08 -4.583040506356824195e-08 8.904481318040632365e-01 9.528469295199503211e-03 1.000233989007372620e-01 -7.455930303100640755e-01 -1.466305720689242698e+00
8.014831752888412764e-01 1.253875111204543000e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.179780909773206200e-06 7.809884089679216775e-08 -4.008939706105058128e-08 -4.723953729819049069e-08 -7.792287681977243844e-08 7.232418661926881129e-08 -3.578650124454223463e-08 -5.043570079333480332e-08 8.916287151766555397e-01 9.621657168391412399e-03 9.874962765495304273e-02 -7.450367760392655470e-01 -1.458286283160191488e+00
8.057281415054514673e-01 1.400120878852950401e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.317870266660898562e-06 9.023184239288313618e-08 -4.361759306998350969e-08 -5.198914722478694067e-08 -8.676569757850903415e-08 8.379157016965103992e-08 -3.886599141890735628e-08 -5.548406079068878047e-08 8.924628134067070784e-01 9.762783334992987047e-03 9.777440325829993284e-02 -7.439589916020944438e-01 -1.450054651280913820e+00
